id,title,filename,mime,width,height,alt,caption,url
667,chantier3,chantier3.jpg,image/jpeg,1300,650,,,https://www.inzovumall.com/wp-content/uploads/2024/05/chantier3.jpg
668,chantier4,chantier4.jpg,image/jpeg,1300,650,,,https://www.inzovumall.com/wp-content/uploads/2024/05/chantier4.jpg
966,GeneralSans-Regular,,application/x-font-ttf,,,,<p>GeneralSans-Regular</p> ,https://www.inzovumall.com/wp-content/uploads/2024/05/GeneralSans-Regular.ttf
968,GeneralSans-Medium,,application/x-font-ttf,,,,<p>GeneralSans-Medium</p> ,https://www.inzovumall.com/wp-content/uploads/2024/05/GeneralSans-Medium.ttf
970,GeneralSans-Regular,,application/x-font-ttf,,,,<p>GeneralSans-Regular</p> ,https://www.inzovumall.com/wp-content/uploads/2024/05/GeneralSans-Regular-1.ttf
972,GeneralSans-Medium,,application/x-font-ttf,,,,<p>GeneralSans-Medium</p> ,https://www.inzovumall.com/wp-content/uploads/2024/05/GeneralSans-Medium-1.ttf
974,GeneralSans-Semibold,,application/x-font-ttf,,,,<p>GeneralSans-Semibold</p> ,https://www.inzovumall.com/wp-content/uploads/2024/05/GeneralSans-Semibold.ttf
1178,placeholder.png,placeholder.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder.png
1180,sama.jpg,sama.jpg,image/jpeg,185,122,,,https://www.inzovumall.com/wp-content/uploads/2024/08/sama.jpg
1182,placeholder.png,placeholder-1.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-1.png
1184,saintpaul.jpg,saintpaul.jpg,image/jpeg,185,122,,,https://www.inzovumall.com/wp-content/uploads/2024/08/saintpaul.jpg
1186,placeholder.png,placeholder-2.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-2.png
1188,riviera.jpg,riviera.jpg,image/jpeg,185,122,,,https://www.inzovumall.com/wp-content/uploads/2024/08/riviera.jpg
1190,placeholder.png,placeholder-3.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-3.png
1192,sadi.jpg,sadi.jpg,image/jpeg,185,122,,,https://www.inzovumall.com/wp-content/uploads/2024/08/sadi.jpg
1194,placeholder.png,placeholder-4.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-4.png
1196,lome.jpg,lome.jpg,image/jpeg,185,131,,,https://www.inzovumall.com/wp-content/uploads/2024/08/lome.jpg
1198,placeholder.png,placeholder-5.png,image/png,1200,800,,,https://www.inzovumall.com/wp-content/uploads/2024/08/placeholder-5.png
